Usuario,Nombre,Fecha,Texto,Tipo,Likes,Retweets,Comentarios,Citas,Enlace,ImÃ¡genes,Videos,GIFs
@elnortelocal,elnortelocal,"Jun 20, 2024 Â· 5:35 PM UTC",local ante lluvias de alberto un tramo del carril exprÃ©s sobre la avenida constituciÃ³n se deslava y cae al rÃ­o santa catarina,Lluvia,124,32,1,5,https://twitter.com/elnortelocal/status/1803844125453881378#m,,['https://video.twimg.com/ext_tw_video/1803843637819625472/pu/pl/-GYmTNosIfuxV515.m3u8?tag=12'],
@elnortelocal,elnortelocal,"Jun 20, 2024 Â· 5:20 PM UTC",local por las fuertes lluvias mÃ¡s de colonias del sur de monterrey reportan quedarse sin luz desde la madrugada de este jueves,Lluvia,9,3,4,1,https://twitter.com/elnortelocal/status/1803840427377758408#m,,,
@elnortelocal,elnortelocal,"Jun 20, 2024 Â· 3:05 PM UTC",entÃ©rate el nivel del rÃ­o santa catarina luce con un mayor flujo de agua por las fuertes lluvias que han azotado a la ciudad durante esta madrugada,Lluvia,20,4,2,0,https://twitter.com/elnortelocal/status/1803806265635709385#m,,,
@elnortelocal,elnortelocal,"Jun 20, 2024 Â· 2:59 PM UTC",local lluvias torrenciales de la tormenta tropical alberto desbordan afluentes y provocan inundaciones en la cabecera municipal de aramberri mÃ¡s informaciÃ³n,Inundación,109,30,2,3,https://twitter.com/elnortelocal/status/1803804990470824026#m,,['https://video.twimg.com/ext_tw_video/1803804965376274432/pu/pl/PswyHic8JpL8Eial.m3u8?tag=12'],
@elnortelocal,elnortelocal,"Jun 20, 2024 Â· 1:27 AM UTC",local el rÃ­o pilÃ³n en montemorelos presenta gran flujo de agua tras las lluvias presentadas durante la tarde al sur del estado mÃ¡s informaciÃ³n,Lluvia,88,12,0,0,https://twitter.com/elnortelocal/status/1803600518272491817#m,,['https://video.twimg.com/ext_tw_video/1803599744234614784/pu/pl/ZUUfQeXGAQQc09e5.m3u8?tag=12'],
@elnortelocal,elnortelocal,"Jun 19, 2024 Â· 10:03 PM UTC",local las lluvias provocan fallas en semÃ¡foros de la calle zaragoza y en sus cruces con colÃ³n y reforma sigue la informaciÃ³n de las lluvias en el estado aquÃ­,Lluvia,24,9,3,1,https://twitter.com/elnortelocal/status/1803549072877560305#m,,['https://video.twimg.com/ext_tw_video/1803548674892636164/pu/pl/6A0bMQlXblFZv0WL.m3u8?tag=12'],
@elnortelocal,elnortelocal,"Jun 19, 2024 Â· 9:20 PM UTC",entÃ©rate la avenida josÃ© Ã¡ngel conchello en monterrey ya sufre los estragos de las lluvias presentadas en la ciudad mÃ¡s informaciÃ³n,Lluvia,88,13,5,2,https://twitter.com/elnortelocal/status/1803538475083505722#m,,['https://video.twimg.com/ext_tw_video/1803537202439503873/pu/pl/r09S0Iuzv1YmFx8D.m3u8?tag=12'],
@elnortelocal,elnortelocal,"Jun 19, 2024 Â· 8:17 PM UTC",entÃ©rate la llegada de la tormenta alberto comienza a sentirse en la zona metropolitana con lluvias en municipios como monterrey san pedro guadalupe y santa catarina mÃ¡s informaciÃ³n,Lluvia,43,6,0,2,https://twitter.com/elnortelocal/status/1803522409548619778#m,,['https://video.twimg.com/ext_tw_video/1803522257832255489/pu/pl/jbmAJSTEyWc40SCX.m3u8?tag=12'],
@elnortelocal,elnortelocal,"Jun 19, 2024 Â· 6:28 PM UTC",entÃ©rate la llegada de la tormenta alberto comienza a sentirse en la zona metropolitana con lluvias en municipios como san pedro santa catarina y guadalupe mÃ¡s informaciÃ³n en,Lluvia,35,3,1,0,https://twitter.com/elnortelocal/status/1803495002821239136#m,,['https://video.twimg.com/ext_tw_video/1803494970856460288/pu/pl/8H2OmVgGRdD9FhrB.m3u8?tag=12'],
@elnortelocal,elnortelocal,"Jun 19, 2024 Â· 5:52 PM UTC",seguridad un conato de incendio en un aparato elÃ©ctrico de un domicilio moviliza a bomberos y rescatistas en la colonia capistrana en san pedro,No se relaciona,8,1,0,0,https://twitter.com/elnortelocal/status/1803486028457713667#m,,,
@elnortelocal,elnortelocal,"Jun 19, 2024 Â· 3:26 PM UTC",entÃ©rate acorde al centro nacional de huracanes de estados unidos se forma la tormenta tropical alberto sobre el golfo lluvias llegarÃ¡n a nl,Lluvia,17,3,1,1,https://twitter.com/elnortelocal/status/1803449197833949614#m,,,
@elnortelocal,elnortelocal,"Jun 19, 2024 Â· 2:27 PM UTC",local el gobierno de nuevoleÃ³n y los municipios afirman tomar medidas para afrontar los dÃ­as de lluvia pronosticados por la posible formaciÃ³n de la tormentatropical alberto mÃ¡s informaciÃ³n en,Lluvia,2,0,0,0,https://twitter.com/elnortelocal/status/1803434316879237242#m,,,
@LoQuePasaEnNL,@QuePasaEnNL Â®ï¸,"Jun 21, 2024 Â· 4:35 AM UTC",ahoranl en estos momentos muy fuerte lluvia en avantiguos ejidatarios en la zona de la alianza en monterrey no salgan ni intenten cruzar menos manejar quÃ©dense en un lugar seguro loquepasaennl,Lluvia,139,10,3,2,https://twitter.com/LoQuePasaEnNL/status/1804010315488858195#m,,['https://video.twimg.com/ext_tw_video/1804010280948731904/pu/pl/S2kpvIKQRqOn5NPK.m3u8?tag=12'],
@mtygob,Gobierno Monterrey,"Jun 21, 2024 Â· 2:51 AM UTC",cierres a la vialidad por inundaciones hasta el momento zona sur camino al mirador y lazaro cardenas parque canoas antiguo camino a villa de santiago y avenida la hacienda antiguo camino a villa de santiago y santa anita,Inundación,70,15,1,0,https://twitter.com/mtygob/status/1803983994243158135#m,,,
@LoQuePasaEnNL,@QuePasaEnNL Â®ï¸,"Jun 21, 2024 Â· 2:02 AM UTC",vuelve a arreciar la lluvia en diversas zonas del Ã¡rea metropolitana precauciÃ³n alberto,Lluvia,121,10,3,0,https://twitter.com/LoQuePasaEnNL/status/1803971622245929454#m,,,
@LoQuePasaEnNL,@QuePasaEnNL Â®ï¸,"Jun 20, 2024 Â· 11:32 PM UTC",reportan riesgo de desborde del rÃ­o pesquerÃ­a en los lÃ­mites de escobedo y garcÃ­a a la altura del libramiento,Inundación,90,6,0,0,https://twitter.com/LoQuePasaEnNL/status/1803933993525743940#m,"['https://pbs.twimg.com/media/GQjcaEWakAMtHo4.jpg', 'https://pbs.twimg.com/media/GQjcaEZakAAth0L.jpg']",,
@DarkKnightMty,DarkKnightMty,"Jun 20, 2024 Â· 9:19 PM UTC",lamento mucho que didifoodmx didimexico estÃ© motivando a sus repartidores a salir a exponer sus vidas con todo y las inundaciones ellos no responderÃ¡n por la vida de sus repartidores que ni siquiera tienen prestaciones de ley monterrey alberto,Inundación,81,24,9,3,https://twitter.com/DarkKnightMty/status/1803900379685408924#m,['https://pbs.twimg.com/media/GQi91f2WQAAiPPF.jpg'],,
@LoQuePasaEnNL,@QuePasaEnNL Â®ï¸,"Jun 20, 2024 Â· 8:30 PM UTC",fuerte lluvia en la rotonda de solidaridad en monterrey,Lluvia,95,6,0,0,https://twitter.com/LoQuePasaEnNL/status/1803888217458184528#m,,['https://video.twimg.com/ext_tw_video/1803888192325849089/pu/pl/DLVhuOLUhcf14giG.m3u8?tag=12'],
@LoQuePasaEnNL,@QuePasaEnNL Â®ï¸,"Jun 20, 2024 Â· 8:19 PM UTC",ahoranl aminoro la lluvia en bustamante nl,Lluvia,87,8,0,0,https://twitter.com/LoQuePasaEnNL/status/1803885298964984077#m,,['https://video.twimg.com/ext_tw_video/1803885284926562304/pu/pl/Ff7i4QhWo3hUxZzV.m3u8?tag=12'],
@LoQuePasaEnNL,@QuePasaEnNL Â®ï¸,"Jun 20, 2024 Â· 6:29 PM UTC",alista el gobierno municipal de linares el cierre de puentes tras lluvias extremas,Lluvia,103,7,0,1,https://twitter.com/LoQuePasaEnNL/status/1803857829935415620#m,,['https://video.twimg.com/ext_tw_video/1803857653132857347/pu/pl/yu-mGF_Rlcq8lz8w.m3u8?tag=12'],
@LoQuePasaEnNL,@QuePasaEnNL Â®ï¸,"Jun 20, 2024 Â· 5:28 PM UTC",increÃ­ble la mismÃ­sima residencia mejor conocida en todo mexico como la casa del tec estÃ© inundada por las lluvias en monterrey todo esto a unos dÃ­as del sorteo,Lluvia,504,74,24,4,https://twitter.com/LoQuePasaEnNL/status/1803842332527333428#m,,['https://video.twimg.com/amplify_video/1803839849100607489/pl/3-bLOW0K_cEd4025.m3u8?tag=16'],
@mty_360,MTY360â¢,"Jun 20, 2024 Â· 5:02 PM UTC",la lluvia no da respiro y asÃ­ las cosas en contry la silla primer sector en guadalupe nuevo leÃ³n,Lluvia,2740,393,36,12,https://twitter.com/mty_360/status/1803835703530488040#m,,['https://video.twimg.com/ext_tw_video/1803835675244175360/pu/pl/plY2DfhMQ0rfv-9w.m3u8?tag=12'],
@cesarmty,CÃ©sar Cepeda,"Jun 20, 2024 Â· 5:01 PM UTC",ultimahora asÃ­ la presa la libertad ubicada en montemorelos nuevo leÃ³n por las lluvias provocadas por el paso de la tormenta alberto santiago allende monterrey,Lluvia,571,63,9,1,https://twitter.com/cesarmty/status/1803835557673603248#m,,['https://video.twimg.com/ext_tw_video/1803835162070786048/pu/pl/2r-akWZ8XE6bx6a-.m3u8?tag=12'],
@Like_Mty,Likemty,"Jun 19, 2024 Â· 10:34 PM UTC",y empiezan los memes por la presencia de la lluvia mtyfollow hectorjtrevinot elvazleta berthisbonita elpajonalstacat atentosmtysur eldelaconsty comunidadmitras eduardovarvi judithmedrano,Lluvia,73,23,2,0,https://twitter.com/Like_Mty/status/1803556922433683465#m,,['https://video.twimg.com/ext_tw_video/1803556891932647424/pu/vid/avc1/720x1280/fxhPHBX5pbzuLcOs.mp4?tag=12'],
@Deadpoolmx2,deadpoolmx,"Jun 18, 2024 Â· 5:09 PM UTC",todos los regios asÃ­ esperando la lluvia del ciclÃ³n,Lluvia,3,1,0,0,https://twitter.com/Deadpoolmx2/status/1803112936447111452#m,['https://pbs.twimg.com/media/GQXxqRYWIAAGB2Z.jpg'],,
@camion_desde,ðDesde El CamiÃ³nð,"Jun 20, 2024 Â· 6:56 PM UTC",ruta va brindar servicio al menos que digan otra cosa estÃ¡n checando los recorridos para evitar zonas con cierres o afectadas por la lluvia,Lluvia,30,3,5,1,https://twitter.com/camion_desde/status/1803864394285154411#m,,,
@samuel_garcias,Samuel GarcÃ­a,"Jun 20, 2024 Â· 4:40 PM UTC",todos en alerta y en resguardo ni labores ni clases viene lluvia extrema,Lluvia,5036,421,194,47,https://twitter.com/samuel_garcias/status/1803830274599366965#m,['https://pbs.twimg.com/media/GQh-ExwWsAAGboG.jpg'],,
@metrorreynlofi1,Metrorrey Oficial N.L.,"Jun 20, 2024 Â· 6:36 PM UTC",ponteatento con la tormenta evita salir si no es necesario ademÃ¡s considera que las fuertes lluvias estÃ¡n afectando algunas vialidades como la carretera linares galeana la autopista monterrey saltillo y la carretera nacional cuÃ­date y extrema precauciones,Lluvia,5,1,0,1,https://twitter.com/metrorreynlofi1/status/1803859502019584274#m,['https://pbs.twimg.com/media/GQiYqATWkAAI-lE.jpg'],,
@metrorreynlofi1,Metrorrey Oficial N.L.,"Jun 20, 2024 Â· 1:00 AM UTC",prevengamos inundaciones y ayÃºdanos a ser parte de la soluciÃ³n no tires basura en la calle asÃ­ se evita el desbordamientos en las alcantarillas no olvides mantenerte al tanto de las actualizaciones de las fuentes oficiales,Inundación,5,1,2,0,https://twitter.com/metrorreynlofi1/status/1803593609767428148#m,['https://pbs.twimg.com/media/GQeFNdsWoAAX5jS.jpg'],,
@metrorreynlofi1,Metrorrey Oficial N.L.,"Jun 19, 2024 Â· 10:25 PM UTC",si no es necesario salir de casa mantente a salvo y no salgas ya que las lluvias se incrementarÃ¡n de forma intensa en el estado,Lluvia,7,0,0,0,https://twitter.com/metrorreynlofi1/status/1803554725519868229#m,['https://pbs.twimg.com/media/GQeDdxBWgAAKWKE.jpg'],,
@metrorreynlofi1,Metrorrey Oficial N.L.,"Jun 19, 2024 Â· 4:32 PM UTC",te compartimos algunas recomendaciones emitidas por protecciÃ³n civil nuevo leÃ³n ante las prÃ³ximas lluvias no olvides mantenerte al tanto de redes oficiales para cualquier actualizaciÃ³n,Lluvia,0,0,0,0,https://twitter.com/metrorreynlofi1/status/1803465948860727682#m,['https://pbs.twimg.com/media/GQcyuTLaIAQ2x3G.jpg'],,
@MovilidadSN,Movilidad San Nicolas ð¨,"Feb 4, 2024 Â· 9:05 PM UTC",informevial elemento de movilidadsn dando apoyo a los trabajo de sofocaciÃ³n del incendio pcbsn estÃ¡ trabando para controlado el siniestro cierres viales al momento lÃ³pez y caracol lÃ³pez y santa rosa dionisio gonzalez y las torres santa rosa y ra avenida gobsannicolas,No se relaciona,17,4,1,1,https://twitter.com/MovilidadSN/status/1754249776626020570#m,"['https://pbs.twimg.com/media/GFhY3adbYAEA2Z5.jpg', 'https://pbs.twimg.com/media/GFhY3adbYAAuD-x.jpg']",,
@MovilidadSN,Movilidad San Nicolas ð¨,"Jan 31, 2024 Â· 9:00 PM UTC",movilidadsn en movilidadsn te damos las siguientes recomendaciones para que puedas evitar accidentes viales gobsannicolas,No se relaciona,3,1,0,0,https://twitter.com/MovilidadSN/status/1752798912937906619#m,['https://pbs.twimg.com/media/GFME5sIX0AAs2LL.png'],,
@MovilidadSN,Movilidad San Nicolas ð¨,"Jan 22, 2024 Â· 1:58 PM UTC",buen dÃ­a movilidadsn te comparte las siguientes recomendaciones para este dia de lluvia gobsannicolas,Lluvia,6,2,0,0,https://twitter.com/MovilidadSN/status/1749431371741692217#m,['https://pbs.twimg.com/media/GEc6j5hXgAAAH5W.jpg'],,
@MovilidadSN,Movilidad San Nicolas ð¨,"Jan 16, 2024 Â· 9:38 PM UTC",movilidadsn te damos las siguientes recomendaciones para evitar accidentes,No se relaciona,5,2,0,0,https://twitter.com/MovilidadSN/status/1747372895536402615#m,['https://pbs.twimg.com/media/GD_qYgxXUAA-C__.jpg'],,
@SSP_Apodaca,PolicÃ­a de Apodaca,"Jun 19, 2024 Â· 5:49 PM UTC",en las prÃ³ximas horas se esperan lluvias de moderadas a fuertes en nuestro municipio sigue estas medidas al conducir con pavimento mojado alsiguientenivel,Lluvia,12,4,0,0,https://twitter.com/SSP_Apodaca/status/1803485166738055542#m,['https://pbs.twimg.com/media/GQdEDvbaIAEdtGm.jpg'],,
@SSP_Apodaca,PolicÃ­a de Apodaca,"Feb 17, 2024 Â· 3:38 PM UTC",continÃºa la lluvia en gran parte de nuestro municipio sigue estas medidas al conducir con pavimento mojado alsiguientenivel,Lluvia,6,4,0,0,https://twitter.com/SSP_Apodaca/status/1758878619969933385#m,['https://pbs.twimg.com/media/GGjKyG8WoAAhmdY.jpg'],,
@SSP_Apodaca,PolicÃ­a de Apodaca,"Oct 5, 2023 Â· 7:00 PM UTC",en las prÃ³ximas horas se esperan lluvias de moderadas a fuertes en nuestro municipio sigue estas medidas al conducir con pavimento mojado alsiguientenivel,Lluvia,4,3,1,0,https://twitter.com/SSP_Apodaca/status/1710007079438586181#m,['https://pbs.twimg.com/media/F7sqXOtXgAAAidq.jpg'],,
@SSP_Apodaca,PolicÃ­a de Apodaca,"Aug 22, 2023 Â· 4:48 PM UTC",se acercan las lluvias a nuestro municipio tus limpiaparabrisas funcionan correctamente conoce el momento adecuando para sustituirlos alsiguientenivel cccicmty mtyfollow asiesmonterrey,Lluvia,5,4,2,0,https://twitter.com/SSP_Apodaca/status/1694028712432296291#m,['https://pbs.twimg.com/media/F4JmHnsW4AMj4fx.jpg'],,
@SSP_Apodaca,PolicÃ­a de Apodaca,"Jul 6, 2023 Â· 10:37 PM UTC",precauciÃ³n inicia la lluvia en varios sectores del municipio te recordamos estas reglas bÃ¡sicas al conducir con pavimento mojado cc cicmty mtyfollow asiesmonterrey,Lluvia,26,13,3,0,https://twitter.com/SSP_Apodaca/status/1677084434313662464#m,['https://pbs.twimg.com/media/F0YzZtVaIAAZzro.jpg'],,
@PC_NuevoLeon,ProtecciÃ³n Civil NL,"Jun 21, 2024 Â· 2:20 AM UTC",ponteatento se reporta lluvia fuerte en autopista monterrey reynosa lÃ­mites guadalupe y juÃ¡rez extreme precauciones al conducir ante cualquier emergencia llama al todasytodossomosprotecciÃ³ncivil,Lluvia,225,30,3,0,https://twitter.com/PC_NuevoLeon/status/1803976260386693471#m,,['https://video.twimg.com/ext_tw_video/1803976236676358144/pu/pl/mjfE0uEwbxELyDED.m3u8?tag=12'],
